央视,#genre#
CCTV1,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/2500/index.m3u8?&encrypt=
CCTV2,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/3000/index.m3u8?&encrypt=
CCTV3,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?&encrypt=
CCTV4,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv4ouhd/51/index.m3u8?&encrypt=
CCTV5,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv5hdnew/2500/index.m3u8?&encrypt=
CCTV5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV6,http://hlsbkmgsplive.miguvideo.com/wd_r2/ocn/cctv6hd/3000/index.m3u8?&encrypt=
CCTV7,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/57/index.m3u8?&encrypt=
CCTV8,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv8hd/1000/index.m3u8?&encrypt=
CCTV9,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv9hd/57/index.m3u8?&encrypt=
CCTV10,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv10hd/2000/index.m3u8?&encrypt=
CCTV11,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv11hd/57/20200103/index.m3u8?&encrypt=
CCTV12,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv12hd/57/index.m3u8?&encrypt=
CCTV13,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV14,http://hlsbkmgsplive.miguvideo.com/wd_r2/ocn/cctv14hd/3000/index.m3u8?&encrypt=
CCTV15,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv15hd/57/index.m3u8?&encrypt=
CCTV16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV17,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv17hd/57/index.m3u8?&encrypt=

CCTV1,http://47.242.38.45:9999/ysp.php?id=cctv1
CCTV2,http://47.242.38.45:9999/ysp.php?id=cctv2
CCTV3,http://47.242.38.45:9999/ysp.php?id=cctv3
CCTV4,http://47.242.38.45:9999/ysp.php?id=cctv4

电影1905国际,http://47.242.38.45:9999/1905.php?id=1905
电影1905国内,http://47.242.38.45:9999/1905.php?id=1905-2
CCTV7,http://47.242.38.45:9999/ysp.php?id=cctv7
CCTV8,http://47.242.38.45:9999/ysp.php?id=cctv8
CCTV9,http://47.242.38.45:9999/ysp.php?id=cctv9
CCTV10,http://47.242.38.45:9999/ysp.php?id=cctv10
CCTV11,http://47.242.38.45:9999/ysp.php?id=cctv11
CCTV12,http://47.242.38.45:9999/ysp.php?id=cctv12
CCTV13,http://47.242.38.45:9999/ysp.php?id=cctv13
CCTV14,http://47.242.38.45:9999/ysp.php?id=cctv14
CCTV15,http://47.242.38.45:9999/ysp.php?id=cctv15

CCTV17,http://47.242.38.45:9999/ysp.php?id=cctv17

CCTV4K-1080P,http://47.242.38.45:9999/ysp.php?id=cctv4k
CCTV8K-1080P,http://47.242.38.45:9999/ysp.php?id=cctv8k
CGTN,http://47.242.38.45:9999/ysp.php?id=cgtn
CGTTN,http://47.242.38.45:9999/ysp.php?id=cgtnjl
CGTN西语,http://47.242.38.45:9999/ysp.php?id=cgtne
CGTN法语,http://47.242.38.45:9999/ysp.php?id=cgtnf
CGTN阿语,http://47.242.38.45:9999/ysp.php?id=cgtna
CGTN俄语,http://47.242.38.45:9999/ysp.php?id=cgtnr

CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
